match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp,,result,home_score,away_score
Майнц vs Айнтрахт,Бундеслига (Германия),2026-03-22,17:30,Фора 0,Хозяева (Ф0),0.6802,1.54,0.6494,0.0763,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:13:55']",?,,
Санкт-Паули vs Фрайбург,Бундеслига (Германия),2026-03-22,19:30,Фора 0,Хозяева (Ф0),0.7031,1.4,0.7143,0.0388,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:16:18']",?,,
Аугсбург vs Штутгарт,Бундеслига (Германия),2026-03-22,21:30,Фора 0,Хозяева (Ф0),0.6759,1.52,0.6579,0.0641,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:18:59']",?,,
Лион vs Монако,Лига 1 (Франция),2026-03-22,17:00,Фора 0,Хозяева (Ф0),0.6895,1.51,0.6623,0.0736,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:21:22']",?,,
Марсель vs Лилль,Лига 1 (Франция),2026-03-22,19:15,Фора 0,Хозяева (Ф0),0.6375,1.7,0.5882,0.0904,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:23:44']",?,,
ПСЖ vs Гавр,Лига 1 (Франция),2026-03-22,19:15,Фора 0,Хозяева (Ф0),0.6264,1.75,0.5714,0.095,14.43,✅ СРЕДНЯЯ,"['53.6', '2026-03-22T12:26:06']",?,,
Ренн vs Мец,Лига 1 (Франция),2026-03-22,19:15,Фора 0,Хозяева (Ф0),0.7153,1.47,0.6803,0.0827,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:28:29']",?,,
Нант vs Страсбур,Лига 1 (Франция),2026-03-22,22:45,Фора 0,Хозяева (Ф0),0.6897,1.54,0.6494,0.0858,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:30:51']",?,,
São Paulo vs SE Palmeiras,Жюпиле Про Лига (Бельгия),2026-03-22,03:00,Фора 0,Хозяева (Ф0),0.7464,1.38,0.7246,0.0725,0.0,📊 ИНФО,"['0.0', '2026-03-22T12:33:13']",?,0,1
Clube do Remo vs EC Bahia,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Исход,Победа хозяев (1),0.5117,1.96,0.5102,0.0344,0.34,📌 НИЗКАЯ,"['18.3', '2026-03-22T12:35:40']",?,,
