match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Newcastle United vs Manchester United,Премьер-лига,2026-03-04,20:15,Исход,Победа хозяев (1),0.757,2.54,0.3937,0.3633,149.78,🔥 ВЫСОКАЯ,2026-02-26T19:05:23
Caen vs Beerschot VA,Ла Лига,2026-02-27,20:00,Исход,Ничья (X),0.5993,3.25,0.3077,0.2916,105.31,🔥 ВЫСОКАЯ,2026-02-26T19:05:52
Caen vs Beerschot VA,Ла Лига,2026-02-27,20:00,Тотал,Меньше 2.5,0.9769,1.64,0.6098,0.3671,235.19,🔥 ВЫСОКАЯ,2026-02-26T19:05:52
Barcelona vs Villarreal CF,Ла Лига,2026-02-28,15:15,Исход,Победа хозяев (1),0.8564,1.35,0.7407,0.1157,111.52,🔥 ВЫСОКАЯ,2026-02-26T19:05:53
Barcelona vs Villarreal CF,Ла Лига,2026-02-28,15:15,Тотал,Больше 3.5,0.6066,1.79,0.5587,0.0479,27.13,🔥 ВЫСОКАЯ,2026-02-26T19:05:53
RCD Mallorca vs Real Sociedad de Fútbol,Ла Лига,2026-02-28,17:30,Тотал,Меньше 2.5,0.6035,1.83,0.5464,0.057,31.44,🔥 ВЫСОКАЯ,2026-02-26T19:05:53
Real Oviedo vs Club Atlético de Madrid,Ла Лига,2026-02-28,20:00,Исход,Победа хозяев (1),0.6673,5.9,0.1695,0.4978,149.86,🔥 ВЫСОКАЯ,2026-02-26T19:05:54
Real Oviedo vs Club Atlético de Madrid,Ла Лига,2026-02-28,20:00,Тотал,Больше 2.5,0.7313,2.15,0.4651,0.2662,124.43,🔥 ВЫСОКАЯ,2026-02-26T19:05:54
V-varen Nagasaki vs RCD Espanyol de Barcelona,Ла Лига,2026-03-01,13:00,Исход,Ничья (X),0.5478,3.31,0.3021,0.2456,87.99,🔥 ВЫСОКАЯ,2026-02-26T19:06:09
V-varen Nagasaki vs RCD Espanyol de Barcelona,Ла Лига,2026-03-01,13:00,Тотал,Меньше 2.5,0.9626,1.88,0.5319,0.4307,230.05,🔥 ВЫСОКАЯ,2026-02-26T19:06:09
